# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	450
#@/user_id	db60737d-968e-4e89-83d1-841eace75b82
a 	啊	c=1 d=1 t=412
zai ci 	在此	c=1 d=0.802519 t=450
zao gao 	糟糕	c=1 d=1 t=304
zhan chi 	展翅	c=1 d=1 t=381
zhan lu 	展露	c=1 d=1 t=302
zhe yi qie 	這一切	c=1 d=1 t=307
zhe zhong 	這種	c=1 d=1 t=317
zhen de 	真的	c=1 d=0.937067 t=450
zhen zheng 	真正	c=1 d=1 t=388
zheng 	正	c=1 d=1 t=231
zheng chang 	正常	c=1 d=1 t=252
zheng ze 	正則	c=2 d=1.96079 t=446
zhi 	只	c=1 d=1 t=333
zhi dao 	知道	c=1 d=1 t=217
zhi hu 	知乎	c=1 d=1 t=450
zhi jie 	直接	c=1 d=1 t=173
zhi shang 	至上	c=1 d=1 t=285
zhong guo 	中國	c=2 d=1.93707 t=261
zhong guo ren 	中國人	c=1 d=1 t=242
zhong wen 	中文	c=2 d=1.21225 t=450
zhong wen zi 	中文字	c=1 d=1 t=439
zhong ying wen 	中英文	c=2 d=1.97516 t=450
zhu ce biao 	註冊表	c=2 d=1.96561 t=450
zhuan miao 	轉描	c=1 d=0.932394 t=450
zi 	茲	c=0 d=0.0913931 t=450
zi ding yi 	自定義	c=1 d=0.97531 t=450
zi dong 	自動	c=1 d=0.913931 t=450
zi ji 	自己	c=4 d=2.95607 t=363
zi ku 	字庫	c=3 d=2.69238 t=450
zi liao 	資料	c=1 d=1 t=163
zi ran ma 	自然碼	c=4 d=3.76956 t=434
zi ti 	字體	c=4 d=3.72115 t=450
zi wo 	自我	c=1 d=1 t=384
zi you 	自由	c=4 d=3.11567 t=366
zi you ruan jian 	自由軟件	c=1 d=1 t=161
zi zao ci 	自造詞	c=1 d=0.900325 t=450
zu zhi 	阻止	c=1 d=1 t=310
zui hou 	最後	c=2 d=0.983728 t=450
zuo le 	做了	c=1 d=1 t=221
zuo wei 	作爲	c=2 d=1.83527 t=232
